ID,ModelPath,IconPath,MaxHealth,Required Materials,Capacity,Core_Value,Category
HOSPITAL,res://shared/resources/buildings/building_models/advanced/hospital/hospital.fbx,-,100,35 WOOD + 20 STONE_BRICK + 20 PLANK + 15 IRON_INGOT,-,4.5,ADVANCED
COURTHOUSE,res://shared/resources/buildings/building_models/advanced/courthouse/courthouse.fbx,-,100,40 WOOD + 25 STONE_BRICK + 25 PLANK + 20 IRON_INGOT + 10 GOLD_INGOT,-,4.5,ADVANCED
BASIC_COLLEGE,res://shared/resources/buildings/building_models/advanced/basic_college/basic_college.fbx,-,100,35 WOOD + 20 STONE_BRICK + 20 PLANK + 15 IRON_INGOT,-,5.5,ADVANCED
COMMERCE_COLLEGE,-,-,100,40 WOOD + 25 STONE_BRICK + 25 PLANK + 20 IRON_INGOT + 10 GOLD_INGOT,-,5.6,ADVANCED
MILITARY_ACADEMY,-,-,100,45 WOOD + 30 STONE_BRICK + 30 PLANK + 25 IRON_INGOT + 15 GOLD_INGOT,-,5.6,ADVANCED
BARRACKS,res://shared/resources/buildings/building_models/military/barracks/barracks.fbx,-,100,40 WOOD + 25 STONE_BRICK + 25 PLANK + 20 IRON_INGOT,500,5,MILITARY
FORTRESS,res://shared/resources/buildings/building_models/military/fortress/fortress.fbx,-,100,60 WOOD + 40 STONE_BRICK + 40 PLANK + 35 IRON_INGOT + 15 GOLD_INGOT,-,6.5,MILITARY
CASTLE,res://shared/resources/buildings/building_models/military/castle/castle.glb,-,100,80 WOOD + 60 STONE_BRICK + 60 PLANK + 50 IRON_INGOT + 30 GOLD_INGOT + 15 LUXURY,-,8,MILITARY
TRAINING_GROUND,res://shared/resources/buildings/building_models/military/training_ground/training_ground.fbx,-,100,35 WOOD + 20 STONE_BRICK + 20 PLANK + 15 IRON_INGOT,-,4.5,MILITARY
MILITARY_FACTORY,res://shared/resources/buildings/building_models/military/military_factory/military_factory.fbx,-,100,45 WOOD + 30 STONE_BRICK + 30 PLANK + 25 IRON_INGOT + 10 GOLD_INGOT,-,4.5,MILITARY
STABLE,res://shared/resources/buildings/building_models/military/stable/stable.fbx,-,100,40 WOOD + 25 STONE_BRICK + 25 PLANK + 20 IRON_INGOT + 10 GOLD_INGOT,-,4.5,MILITARY
SIEGE_WORKSHOP,res://shared/resources/buildings/building_models/military/siege_workshop/siege_workshop.fbx,-,100,50 WOOD + 35 STONE_BRICK + 35 PLANK + 30 IRON_INGOT + 15 GOLD_INGOT,-,3,MILITARY
WOODEN_WALL,res://shared/resources/buildings/building_models/defense/wooden_wall/wooden_wall.fbx,-,300,"8 WOOD ",-,1,DEFENSE
STONE_WALL,res://shared/resources/buildings/building_models/defense/stone_wall/stone_wall.fbx,-,500,"12 STONE_BRICK ",-,1,DEFENSE
WOODEN_GATE,res://shared/resources/buildings/building_models/defense/wooden_gate/wooden_gate.fbx,-,300,15 WOOD + 8 PLANK,-,1,DEFENSE
CITY_GATE,res://shared/resources/buildings/building_models/defense/city_gate/city_gate.fbx,-,500,25 STONE_BRICK + 15 IRON_INGOT,-,1,DEFENSE
WOODEN_TOWER,res://shared/resources/buildings/building_models/defense/wooden_tower/wooden_tower.fbx,-,300,20 WOOD + 15 STONE_ORE + 10 PLANK,-,1,DEFENSE
STONE_TOWER,res://shared/resources/buildings/building_models/defense/stone_tower/stone_tower.fbx,-,500,30 STONE_BRICK + 20 IRON_INGOT,-,1,DEFENSE
